tick,H_F,H_M,C_F,C_M,sum_nutrition,H_g_speed,C_g_speed,H_g_vision,C_g_vision,H_g_repro,C_g_repro
370,68,53,1,3,28840.476412444026,0.5004796940686299,0.5971738447728678,0.5097480402293272,0.39180874123575427,0.48635835367059443,0.49927074948518535
380,68,53,1,3,28882.032375566574,0.5004796940686299,0.5971738447728678,0.5097480402293272,0.39180874123575427,0.48635835367059443,0.49927074948518535
390,68,53,1,3,28920.408247783485,0.5004796940686299,0.5971738447728678,0.5097480402293272,0.39180874123575427,0.48635835367059443,0.49927074948518535
400,68,53,1,2,28964.01869356081,0.5004796940686299,0.7025866064247914,0.5097480402293272,0.21357929515667365,0.48635835367059443,0.42163966180066786
410,68,53,1,2,29005.162955564334,0.5004796940686299,0.7025866064247914,0.5097480402293272,0.21357929515667365,0.48635835367059443,0.42163966180066786
420,68,53,1,2,29036.06680399705,0.5004796940686299,0.7025866064247914,0.5097480402293272,0.21357929515667365,0.48635835367059443,0.42163966180066786
430,68,53,1,2,29067.8362571797,0.5004796940686299,0.7025866064247914,0.5097480402293272,0.21357929515667365,0.48635835367059443,0.42163966180066786
440,68,53,1,2,29095.39956776878,0.5004796940686299,0.7025866064247914,0.5097480402293272,0.21357929515667365,0.48635835367059443,0.42163966180066786
450,68,52,1,2,29127.90391261044,0.4963952980282455,0.7025866064247914,0.5063296990858722,0.21357929515667365,0.4862255011599236,0.42163966180066786
460,68,52,1,2,29153.586902806222,0.4963952980282455,0.7025866064247914,0.5063296990858722,0.21357929515667365,0.4862255011599236,0.42163966180066786
470,68,51,1,1,29177.761160461734,0.49343378695669066,0.6486502170895444,0.5038026608817466,0.1857784493339255,0.48600216314938355,0.3928848872219024
480,68,51,1,1,29198.58984552965,0.49343378695669066,0.6486502170895444,0.5038026608817466,0.1857784493339255,0.48600216314938355,0.3928848872219024
490,68,51,1,1,29206.983236723318,0.49343378695669066,0.6486502170895444,0.5038026608817466,0.1857784493339255,0.48600216314938355,0.3928848872219024
500,68,52,1,1,29219.137165299126,0.4899194964926546,0.6486502170895444,0.5023981431821828,0.1857784493339255,0.48955967244034326,0.3928848872219024
510,68,52,1,1,29228.59370982362,0.4899194964926546,0.6486502170895444,0.5023981431821828,0.1857784493339255,0.48955967244034326,0.3928848872219024
520,68,52,1,1,29233.241286591903,0.4899194964926546,0.6486502170895444,0.5023981431821828,0.1857784493339255,0.48955967244034326,0.3928848872219024
530,68,53,1,1,29234.97361832848,0.49184733146533105,0.6486502170895444,0.50334229993659,0.1857784493339255,0.4917644117926009,0.3928848872219024
540,68,53,1,1,29226.48884496633,0.49184733146533105,0.6486502170895444,0.50334229993659,0.1857784493339255,0.4917644117926009,0.3928848872219024
550,68,53,1,1,29213.186688723483,0.49184733146533105,0.6486502170895444,0.50334229993659,0.1857784493339255,0.4917644117926009,0.3928848872219024
560,68,53,1,1,29204.674262737062,0.49184733146533105,0.6486502170895444,0.50334229993659,0.1857784493339255,0.4917644117926009,0.3928848872219024
570,69,52,1,1,29193.528700598075,0.49645476743420786,0.6486502170895444,0.5056309754761587,0.1857784493339255,0.49507110651785086,0.3928848872219024
580,69,52,1,1,29179.97753123338,0.49645476743420786,0.6486502170895444,0.5056309754761587,0.1857784493339255,0.49507110651785086,0.3928848872219024
590,69,51,1,1,29167.912987956082,0.49865100264152573,0.6486502170895444,0.506255901159466,0.1857784493339255,0.49747043658081197,0.3928848872219024
600,69,52,1,1,29161.498746589583,0.5023134959198852,0.6486502170895444,0.5071545139431695,0.1857784493339255,0.4953885035737993,0.3928848872219024
610,70,52,1,1,29150.244546601803,0.5024298968568465,0.6486502170895444,0.5075774184289935,0.1857784493339255,0.491953555222168,0.3928848872219024
620,70,53,1,1,29135.395860616823,0.5043793986366006,0.6486502170895444,0.5046603186813761,0.1857784493339255,0.4925340250669183,0.3928848872219024
630,70,54,1,1,29120.10732401089,0.5035836957826898,0.6486502170895444,0.5051616858359409,0.1857784493339255,0.49006555056082274,0.3928848872219024
640,70,55,1,1,29091.09135182507,0.5051583337074591,0.6486502170895444,0.5048345550157829,0.1857784493339255,0.48765097963705223,0.3928848872219024
650,69,55,1,1,29060.645074271226,0.5017676270499856,0.6486502170895444,0.5047862099676566,0.1857784493339255,0.48924173899531814,0.3928848872219024
660,69,55,1,1,29023.83260015133,0.5017676270499856,0.6486502170895444,0.5047862099676566,0.1857784493339255,0.48924173899531814,0.3928848872219024
670,69,55,1,1,28987.649694084947,0.5017676270499856,0.6486502170895444,0.5047862099676566,0.1857784493339255,0.48924173899531814,0.3928848872219024
680,69,55,1,1,28947.318497848395,0.5017676270499856,0.6486502170895444,0.5047862099676566,0.1857784493339255,0.48924173899531814,0.3928848872219024
690,69,55,1,1,28918.493104567937,0.5017676270499856,0.6486502170895444,0.5047862099676566,0.1857784493339255,0.48924173899531814,0.3928848872219024
700,70,55,1,1,28889.77887030906,0.5007822272228877,0.6486502170895444,0.5079181430097721,0.1857784493339255,0.49290278113333114,0.3928848872219024
710,70,55,1,1,28863.26884838993,0.5007822272228877,0.6486502170895444,0.5079181430097721,0.1857784493339255,0.49290278113333114,0.3928848872219024
720,70,55,1,1,28832.910035771503,0.5007822272228877,0.6486502170895444,0.5079181430097721,0.1857784493339255,0.49290278113333114,0.3928848872219024
730,70,55,1,1,28807.805017414415,0.5007822272228877,0.6486502170895444,0.5079181430097721,0.1857784493339255,0.49290278113333114,0.3928848872219024
740,70,54,1,1,28793.594715151936,0.4979269746758071,0.6486502170895444,0.5084372954371953,0.1857784493339255,0.489508872467482,0.3928848872219024
750,70,54,1,1,28787.980920502734,0.4979269746758071,0.6486502170895444,0.5084372954371953,0.1857784493339255,0.489508872467482,0.3928848872219024
760,70,54,1,1,28782.00611061761,0.4979269746758071,0.6486502170895444,0.5084372954371953,0.1857784493339255,0.489508872467482,0.3928848872219024
770,70,54,1,1,28776.920232603832,0.4979269746758071,0.6486502170895444,0.5084372954371953,0.1857784493339255,0.489508872467482,0.3928848872219024
780,70,54,0,1,28765.705538397808,0.4979269746758071,0.861979573096193,0.5084372954371953,0.14350504712652368,0.489508872467482,0.46399819386522134
790,70,55,0,1,28756.19663257521,0.49930774345150963,0.861979573096193,0.5074882309733493,0.14350504712652368,0.48938210384465924,0.46399819386522134
800,70,55,0,1,28738.40479682683,0.49930774345150963,0.861979573096193,0.5074882309733493,0.14350504712652368,0.48938210384465924,0.46399819386522134
810,71,55,0,1,28737.77847864625,0.5018770033672588,0.861979573096193,0.5045553970914217,0.14350504712652368,0.489534911439338,0.46399819386522134
820,71,55,0,1,28730.669972092557,0.5018770033672588,0.861979573096193,0.5045553970914217,0.14350504712652368,0.489534911439338,0.46399819386522134
830,71,55,0,1,28727.093804942488,0.5018770033672588,0.861979573096193,0.5045553970914217,0.14350504712652368,0.489534911439338,0.46399819386522134
